████████████████████████████████████████████████████████████████
                        ABLATION REPORT                         
████████████████████████████████████████████████████████████████
  Model:      ConvNeXt-L
  Timestamp:  2026-03-18T11:10:49.889815
  Host:       c0604a-s7.ufhpc
────────────────────────────────────────────────────────────────
  CONFIG
────────────────────────────────────────────────────────────────
  backbone.embed_dim                 256
  backbone.freeze_until              stage0
  backbone.dropout                   0.1
  backbone.finetune_input            True
  fit.n_epochs                      50
  fit.lr                            1e-05
  fit.pos_weight                    1.47
  fit.unfreeze_patience             3
  fit.unfreeze_lr_scale             0.1
────────────────────────────────────────────────────────────────
  BEST EPOCH SUMMARY
────────────────────────────────────────────────────────────────
  Best epoch:     39
  Val kappa:      0.7270
  Tuned kappa:    0.7286  (t=0.52)
  Val accuracy:   0.8666
  Val loss:       0.4219
  Train accuracy: 0.9751
  Train loss:     0.0333
  Train-val gap:  0.1085
────────────────────────────────────────────────────────────────
  PER-CATEGORY @ BEST EPOCH
────────────────────────────────────────────────────────────────
  Category            κ       Acc
································································
  SHOULDER       0.7107    0.8557
  HUMERUS        0.8371    0.9185
  ELBOW          0.7479    0.8797
  FOREARM        0.6968    0.8496
  WRIST          0.7872    0.8987
  HAND           0.6034    0.8204
  FINGER         0.6765    0.8400
────────────────────────────────────────────────────────────────
  EPOCH-BY-EPOCH
────────────────────────────────────────────────────────────────
   Ep    TrLoss    TrAcc    VlLoss    VlAcc        κ       κ*     t*
································································
    1    0.2085   0.7116    0.5002   0.7957   0.5768   0.5781   0.46
    2    0.1652   0.8135    0.4605   0.8090   0.6023   0.6680   0.38
    3    0.1530   0.8283    0.4367   0.8132   0.6118   0.6605   0.38
    4    0.1461   0.8384    0.4205   0.8357   0.6609   0.6838   0.44
    5    0.1394   0.8487    0.4130   0.8432   0.6756   0.6972   0.36
    6    0.1334   0.8592    0.3977   0.8424   0.6781   0.6863   0.42
    7    0.1288   0.8668    0.3981   0.8374   0.6652   0.6870   0.36
    8    0.1243   0.8681    0.3942   0.8474   0.6851   0.7048   0.40
    9    0.1194   0.8752    0.4034   0.8290   0.6450   0.7035   0.34
   10    0.1159   0.8824    0.3822   0.8490   0.6898   0.6950   0.40
   11    0.1112   0.8902    0.3776   0.8482   0.6864   0.7131   0.34
   12    0.1057   0.8947    0.3739   0.8457   0.6826   0.6918   0.56
   13    0.1009   0.9011    0.3621   0.8524   0.6981   0.7095   0.44
   14    0.0986   0.9058    0.3708   0.8549   0.7026   0.7026   0.50
   15    0.0921   0.9125    0.3774   0.8465   0.6829   0.7138   0.30
   16    0.0919   0.9170    0.3670   0.8557   0.7029   0.7214   0.42
   17    0.0830   0.9220    0.3570   0.8599   0.7123   0.7246   0.36
   18    0.0843   0.9272    0.3594   0.8565   0.7062   0.7099   0.48
   19    0.0787   0.9310    0.3705   0.8532   0.6997   0.7100   0.38
   20    0.0745   0.9365    0.3695   0.8599   0.7122   0.7172   0.38
   21    0.0724   0.9408    0.3678   0.8624   0.7173   0.7229   0.46
   22    0.0712   0.9422    0.3623   0.8607   0.7155   0.7236   0.56
   23    0.0634   0.9454    0.3602   0.8624   0.7190   0.7272   0.34
   24    0.0597   0.9505    0.3859   0.8582   0.7094   0.7172   0.58
   25    0.0605   0.9509    0.3742   0.8590   0.7119   0.7175   0.62
   26    0.0613   0.9511    0.3920   0.8582   0.7102   0.7141   0.46
   27    0.0557   0.9558    0.3978   0.8616   0.7160   0.7197   0.42
   28    0.0489   0.9599    0.3937   0.8590   0.7114   0.7147   0.52
   29    0.0489   0.9622    0.4113   0.8599   0.7139   0.7157   0.48
   30    0.0459   0.9651    0.4084   0.8632   0.7201   0.7219   0.48
   31    0.0432   0.9668    0.4204   0.8565   0.7065   0.7137   0.44
   32    0.0411   0.9679    0.4291   0.8549   0.7023   0.7078   0.46
   33    0.0450   0.9685    0.3994   0.8599   0.7138   0.7234   0.36
   34    0.0394   0.9712    0.4221   0.8632   0.7192   0.7256   0.58
   35    0.0391   0.9722    0.4338   0.8557   0.7043   0.7106   0.58
   36    0.0350   0.9735    0.4278   0.8590   0.7114   0.7242   0.42
   37    0.0337   0.9755    0.4404   0.8549   0.7026   0.7105   0.36
   38    0.0375   0.9733    0.4296   0.8599   0.7129   0.7246   0.32
   39    0.0333   0.9751    0.4219   0.8666   0.7270   0.7286   0.52 ◀
   40    0.0335   0.9775    0.4424   0.8565   0.7065   0.7159   0.36
   41    0.0358   0.9772    0.4343   0.8582   0.7098   0.7182   0.30
   42    0.0338   0.9767    0.4368   0.8599   0.7130   0.7195   0.34
   43    0.0274   0.9796    0.4345   0.8641   0.7223   0.7258   0.48
   44    0.0276   0.9790    0.4316   0.8624   0.7185   0.7279   0.40
   45    0.0283   0.9800    0.4314   0.8616   0.7168   0.7210   0.40
   46    0.0297   0.9787    0.4370   0.8616   0.7167   0.7221   0.46
   47    0.0278   0.9807    0.4362   0.8641   0.7219   0.7239   0.46
   48    0.0329   0.9778    0.4347   0.8624   0.7185   0.7222   0.46
   49    0.0283   0.9804    0.4356   0.8616   0.7167   0.7238   0.46
   50    0.0276   0.9807    0.4355   0.8616   0.7167   0.7222   0.44
████████████████████████████████████████████████████████████████
                         END OF REPORT                          
████████████████████████████████████████████████████████████████
