████████████████████████████████████████████████████████████████
                        ABLATION REPORT                         
████████████████████████████████████████████████████████████████
  Model:      ResNet-152
  Timestamp:  2026-03-14T03:20:30.633554
  Host:       c0604a-s24.ufhpc
────────────────────────────────────────────────────────────────
  CONFIG
────────────────────────────────────────────────────────────────
  backbone.embed_dim                 256
  backbone.freeze_until              layer0
  backbone.dropout                   0.1
  backbone.finetune_input            True
  fit.n_epochs                      50
  fit.lr                            1e-05
  fit.pos_weight                    1.47
  fit.unfreeze_patience             3
  fit.unfreeze_lr_scale             0.1
────────────────────────────────────────────────────────────────
  BEST EPOCH SUMMARY
────────────────────────────────────────────────────────────────
  Best epoch:     34
  Val kappa:      0.6330
  Tuned kappa:    0.6425  (t=0.46)
  Val accuracy:   0.8215
  Val loss:       0.4286
  Train accuracy: 0.8932
  Train loss:     0.1084
  Train-val gap:  0.0717
────────────────────────────────────────────────────────────────
  PER-CATEGORY @ BEST EPOCH
────────────────────────────────────────────────────────────────
  Category            κ       Acc
································································
  SHOULDER       0.5659    0.7835
  HUMERUS        0.7035    0.8519
  ELBOW          0.6418    0.8291
  FOREARM        0.6503    0.8271
  WRIST          0.7425    0.8776
  HAND           0.4772    0.7665
  FINGER         0.6058    0.8057
────────────────────────────────────────────────────────────────
  EPOCH-BY-EPOCH
────────────────────────────────────────────────────────────────
   Ep    TrLoss    TrAcc    VlLoss    VlAcc        κ       κ*     t*
································································
    1    0.2471   0.6013    0.6287   0.6606   0.2809   0.3018   0.46
    2    0.2004   0.7346       nan   0.7023   0.3749   0.3831   0.48
    3    0.1859   0.7644    0.5508   0.7398   0.4503   0.4680   0.44
    4    0.1756   0.7822    0.5332   0.7398   0.4489   0.5181   0.36
    5    0.1696   0.7960    0.5338   0.7481   0.4704   0.5172   0.32
    6    0.1648   0.8002    0.5185   0.7565   0.4883   0.5522   0.36
    7    0.1616   0.8068    0.5211   0.7590   0.4918   0.5547   0.30
    8    0.1601   0.8140       nan   0.7698   0.5174   0.5805   0.36
    9    0.1545   0.8232       nan   0.7832   0.5457   0.5882   0.40
   10    0.1516   0.8265    0.4980   0.7823   0.5440   0.5836   0.30
   11    0.1496   0.8268    0.5001   0.7681   0.5123   0.6149   0.32
   12    0.1473   0.8329    0.4660   0.7915   0.5649   0.6136   0.34
   13    0.1447   0.8361    0.4642   0.8065   0.5976   0.6262   0.40
   14    0.1422   0.8414    0.4596   0.8082   0.6018   0.6277   0.38
   15    0.1414   0.8440    0.4642   0.7990   0.5816   0.6171   0.38
   16    0.1386   0.8458    0.4520   0.8107   0.6076   0.6204   0.42
   17    0.1359   0.8492    0.5116   0.7681   0.5118   0.6127   0.30
   18    0.1341   0.8550    0.4693   0.7923   0.5664   0.6242   0.32
   19    0.1317   0.8558    0.4517   0.8098   0.6060   0.6302   0.44
   20    0.1303   0.8616    0.4433   0.8107   0.6078   0.6308   0.30
   21    0.1254   0.8659    0.4492   0.8115   0.6091   0.6401   0.38
   22    0.1234   0.8681    0.4673   0.7973   0.5768   0.6488   0.30
   23    0.1224   0.8691    0.4430   0.8048   0.5950   0.6471   0.34
   24    0.1229   0.8741    0.4387   0.8140   0.6148   0.6428   0.38
   25    0.1194   0.8749    0.4402   0.8148   0.6161   0.6424   0.30
   26    0.1192   0.8749    0.4510   0.7965   0.5773   0.6409   0.30
   27    0.1155   0.8781    0.4594   0.7973   0.5779   0.6343   0.32
   28    0.1140   0.8828    0.4357   0.8173   0.6232   0.6401   0.34
   29    0.1136   0.8840    0.4388   0.8082   0.6022   0.6535   0.34
   30    0.1135   0.8822    0.4510   0.8115   0.6087   0.6390   0.34
   31    0.1099   0.8865    0.4396   0.8157   0.6197   0.6367   0.34
   32    0.1080   0.8888    0.4527   0.8107   0.6069   0.6414   0.38
   33    0.1102   0.8873    0.4323   0.8148   0.6182   0.6318   0.38
   34    0.1084   0.8932    0.4286   0.8215   0.6330   0.6425   0.46 ◀
   35    0.1045   0.8967    0.4442   0.8173   0.6221   0.6432   0.42
   36    0.1066   0.8928    0.4687   0.8040   0.5922   0.6254   0.30
   37    0.1065   0.8966    0.4308   0.8182   0.6251   0.6418   0.38
   38    0.1015   0.8993    0.4431   0.8198   0.6287   0.6356   0.34
   39    0.1023   0.8995    0.4502   0.8182   0.6236   0.6364   0.38
   40    0.1038   0.8987    0.4444   0.8123   0.6115   0.6454   0.34
   41    0.0997   0.9002    0.4499   0.8115   0.6097   0.6379   0.36
   42    0.1027   0.9004    0.4475   0.8015   0.5885   0.6310   0.36
   43    0.0997   0.8999    0.4610   0.8115   0.6080   0.6288   0.36
   44    0.1005   0.9034    0.4714   0.8023   0.5881   0.6256   0.34
   45    0.0992   0.9029    0.4469   0.8123   0.6109   0.6362   0.30
   46    0.0993   0.9030    0.4600   0.8123   0.6101   0.6281   0.30
   47    0.0960   0.9051    0.4503   0.8115   0.6094   0.6466   0.32
   48    0.0998   0.9014    0.4507   0.8090   0.6036   0.6351   0.32
   49    0.0970   0.9040    0.4529   0.8082   0.6025   0.6298   0.46
   50    0.0968   0.9030    0.4597   0.8098   0.6055   0.6355   0.30
████████████████████████████████████████████████████████████████
                         END OF REPORT                          
████████████████████████████████████████████████████████████████
