████████████████████████████████████████████████████████████████
                        ABLATION REPORT                         
████████████████████████████████████████████████████████████████
  Model:      ViT-L/16
  Timestamp:  2026-03-11T14:00:05.055529
  Host:       c0606a-s18.ufhpc
────────────────────────────────────────────────────────────────
  CONFIG
────────────────────────────────────────────────────────────────
  backbone.embed_dim                 256
  backbone.freeze_until              encoder_layer_0
  backbone.dropout                   0.1
  backbone.finetune_input            True
  fit.n_epochs                      50
  fit.lr                            1e-05
  fit.pos_weight                    1.47
  fit.unfreeze_patience             3
  fit.unfreeze_lr_scale             0.1
────────────────────────────────────────────────────────────────
  BEST EPOCH SUMMARY
────────────────────────────────────────────────────────────────
  Best epoch:     47
  Val kappa:      0.6509
  Tuned kappa:    0.6516  (t=0.44)
  Val accuracy:   0.8299
  Val loss:       0.6233
  Train accuracy: 0.9889
  Train loss:     0.0169
  Train-val gap:  0.1591
────────────────────────────────────────────────────────────────
  PER-CATEGORY @ BEST EPOCH
────────────────────────────────────────────────────────────────
  Category            κ       Acc
································································
  SHOULDER       0.6284    0.8144
  HUMERUS        0.7037    0.8519
  ELBOW          0.6588    0.8354
  FOREARM        0.6503    0.8271
  WRIST          0.7555    0.8861
  HAND           0.5267    0.7844
  FINGER         0.5826    0.7943
────────────────────────────────────────────────────────────────
  EPOCH-BY-EPOCH
────────────────────────────────────────────────────────────────
   Ep    TrLoss    TrAcc    VlLoss    VlAcc        κ       κ*     t*
································································
    1    0.2276   0.6743    0.5648   0.7331   0.4462   0.4647   0.44
    2    0.1898   0.7590    0.5350   0.7473   0.4693   0.5042   0.42
    3    0.1780   0.7857    0.4949   0.7773   0.5365   0.5559   0.44
    4    0.1690   0.7976    0.4772   0.8090   0.6043   0.6108   0.48
    5    0.1626   0.8096    0.4731   0.7907   0.5619   0.6180   0.42
    6    0.1571   0.8171    0.4623   0.8148   0.6178   0.6190   0.48
    7    0.1506   0.8273    0.4635   0.8057   0.5982   0.5990   0.52
    8    0.1436   0.8367    0.4493   0.8132   0.6131   0.6213   0.48
    9    0.1404   0.8446    0.4597   0.7990   0.5830   0.6061   0.46
   10    0.1319   0.8521    0.4498   0.8040   0.5975   0.6052   0.48
   11    0.1244   0.8623    0.4485   0.7982   0.5815   0.6113   0.40
   12    0.1179   0.8699    0.4349   0.8157   0.6208   0.6208   0.50
   13    0.1130   0.8777    0.4444   0.8132   0.6140   0.6323   0.44
   14    0.1103   0.8827    0.4408   0.8157   0.6212   0.6246   0.42
   15    0.1030   0.8887    0.4428   0.8048   0.5967   0.6289   0.36
   16    0.0945   0.9034    0.4339   0.8215   0.6330   0.6491   0.42
   17    0.0889   0.9107    0.4454   0.8232   0.6349   0.6629   0.40
   18    0.0873   0.9171    0.4422   0.8224   0.6349   0.6389   0.42
   19    0.0851   0.9180    0.4566   0.8115   0.6118   0.6233   0.46
   20    0.0761   0.9264    0.4779   0.8065   0.6015   0.6172   0.38
   21    0.0723   0.9340    0.4635   0.8173   0.6254   0.6363   0.38
   22    0.0679   0.9370    0.4662   0.8165   0.6251   0.6359   0.62
   23    0.0641   0.9434    0.4906   0.8165   0.6230   0.6277   0.46
   24    0.0593   0.9460    0.4855   0.8157   0.6213   0.6369   0.36
   25    0.0568   0.9524    0.4868   0.8265   0.6459   0.6459   0.50
   26    0.0524   0.9559    0.5137   0.8148   0.6190   0.6311   0.42
   27    0.0505   0.9576    0.5335   0.8115   0.6113   0.6279   0.34
   28    0.0459   0.9622    0.5129   0.8240   0.6399   0.6408   0.54
   29    0.0410   0.9666    0.5426   0.8215   0.6330   0.6427   0.42
   30    0.0432   0.9674    0.5379   0.8173   0.6266   0.6327   0.54
   31    0.0384   0.9697    0.5519   0.8240   0.6395   0.6444   0.42
   32    0.0354   0.9742    0.5634   0.8282   0.6475   0.6488   0.56
   33    0.0329   0.9749    0.5637   0.8240   0.6380   0.6679   0.34
   34    0.0329   0.9770    0.5793   0.8165   0.6229   0.6413   0.32
   35    0.0296   0.9791    0.5635   0.8265   0.6442   0.6549   0.36
   36    0.0262   0.9800    0.5952   0.8257   0.6423   0.6423   0.50
   37    0.0262   0.9817    0.5986   0.8240   0.6386   0.6436   0.52
   38    0.0258   0.9832    0.5976   0.8224   0.6362   0.6442   0.56
   39    0.0237   0.9851    0.5880   0.8290   0.6495   0.6497   0.48
   40    0.0220   0.9865    0.6025   0.8274   0.6462   0.6463   0.48
   41    0.0204   0.9868    0.6142   0.8198   0.6306   0.6361   0.32
   42    0.0168   0.9880    0.6156   0.8232   0.6370   0.6429   0.30
   43    0.0192   0.9860    0.6259   0.8173   0.6252   0.6371   0.64
   44    0.0198   0.9874    0.6186   0.8249   0.6405   0.6448   0.58
   45    0.0143   0.9895    0.6320   0.8257   0.6417   0.6458   0.30
   46    0.0178   0.9880    0.6232   0.8282   0.6475   0.6522   0.54
   47    0.0169   0.9889    0.6233   0.8299   0.6509   0.6516   0.44 ◀
   48    0.0120   0.9903    0.6275   0.8282   0.6474   0.6507   0.52
   49    0.0139   0.9903    0.6289   0.8299   0.6507   0.6507   0.50
   50    0.0181   0.9889    0.6289   0.8299   0.6507   0.6507   0.50
████████████████████████████████████████████████████████████████
                         END OF REPORT                          
████████████████████████████████████████████████████████████████
